"NGA","Polity","Section","Subsection","Variable","Value.From","Value.To","Date.From","Date.To","Fact.Type","Value.Note","Date.Note","Comment"
"Ghanaian Coast","GhAshnL","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Hierarchical Complexity","Administrative levels","6",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Hierarchical Complexity","Religious levels","4",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Hierarchical Complexity","Military levels","6",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","GhAshnL","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Hierarchical Complexity","Administrative levels","6",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Hierarchical Complexity","Religious levels","4",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Hierarchical Complexity","Military levels","6",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Ghanaian Coast","Ashanti","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Hierarchical Complexity","Religious levels","2",3,"","","complex","range","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Hierarchical Complexity","Military levels","3",4,"","","complex","range","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","complex","uncertain","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","complex","uncertain","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Written records","absent",NA,"700CE","899CE","complex","simple","range",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Written records","absent",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Written records","present",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Script","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"700CE","899CE","complex","simple","range",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Religious literature","absent",NA,"700CE","899CE","complex","simple","range",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Religious literature","absent",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Religious literature","present",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Practical literature","absent",NA,"700CE","899CE","complex","simple","range",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Practical literature","absent",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Practical literature","present",NA,"900CE","1077CE","complex","uncertain","range","The fact is uncertain"
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","History","unknown",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Information","Philosophy","unknown",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","complex","disputed","",""
"Niger Inland Delta","MrWagdM","Social Complexity variables","Other","Indigenous coins","present",NA,"","","complex","disputed","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Hierarchical Complexity","Religious levels","3",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Hierarchical Complexity","Military levels","3",4,"","","complex","range","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","complex","uncertain","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","complex","uncertain","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Written records","absent",NA,"700CE","899CE","complex","simple","range",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Written records","present",NA,"900CE","1077CE","complex","simple","range",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","History","unknown",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Information","Philosophy","unknown",NA,"","","simple","simple","",""
"Niger Inland Delta","MrWagdL","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Hierarchical Complexity","Administrative levels","4",5,"","","complex","range","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Hierarchical Complexity","Religious levels","3",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Hierarchical Complexity","Military levels","5",6,"","","complex","range","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MlSong2","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","4",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Hierarchical Complexity","Administrative levels","5",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Hierarchical Complexity","Religious levels","3",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Hierarchical Complexity","Military levels","6",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Professions","Professional military officers","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Professions","Professional soldiers","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Professions","Professional priesthood","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Law","Formal legal code","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Law","Judges","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Law","Courts","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Specialized Buildings: polity owned","Markets","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Specialized Buildings: polity owned","Roads","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Written records","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Script","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Phonetic alphabetic writing","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Calendar","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Religious literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Practical literature","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","History","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Information","Philosophy","present",NA,"","","simple","simple","",""
"Niger Inland Delta","MaSaadi","Social Complexity variables","Other","Indigenous coins","present",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","1",2,"","","complex","range","",""
"Upper Egypt","EgBadar","Social Complexity variables","Hierarchical Complexity","Administrative levels","1",2,"","","complex","range","",""
"Upper Egypt","EgBadar","Social Complexity variables","Hierarchical Complexity","Religious levels","1",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Hierarchical Complexity","Military levels","1",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Professions","Professional priesthood","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Bureaucracy characteristics","Full-time bureaucrats","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Bureaucracy characteristics","Examination system","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Bureaucracy characteristics","Specialized government buildings","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Law","Formal legal code","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Law","Judges","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Law","Courts","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Specialized Buildings: polity owned","Communal buildings","present",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Specialized Buildings: polity owned","Irrigation systems","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Specialized Buildings: polity owned","Markets","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Specialized Buildings: polity owned","Knowledge/information buildings","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Specialized Buildings: polity owned","Roads","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Written records","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Script","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Phonetic alphabetic writing","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Calendar","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Religious literature","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Practical literature","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","History","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Information","Philosophy","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgBadar","Social Complexity variables","Other","Indigenous coins","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","1",NA,"3800BCE","","complex","simple","simple",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","1",2,"3700BCE","","complex","range","simple",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Settlement hierarchy","2",NA,"3600BCE","","complex","simple","simple",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Administrative levels","1",3,"","","complex","range","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Religious levels","1",NA,"","","simple","simple","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Hierarchical Complexity","Military levels","1",2,"","","complex","range","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Professions","Professional military officers","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Professions","Professional soldiers","absent",NA,"","","simple","simple","",""
"Upper Egypt","EgNaqa1","Social Complexity variables","Professions","Professional priesthood","absent",NA,"","","simple","simple","",""
